Id,Month,Android,Internet of Things,Software development,Machine learning
0,4-Jan,1,8,72,21
1,4-Feb,1,8,63,32
2,4-Mar,1,0,100,15
3,4-Apr,1,0,66,12
4,4-May,1,0,68,23
5,4-Jun,1,7,77,9
6,4-Jul,1,7,63,6
7,4-Aug,1,0,61,8
8,4-Sep,1,6,65,11
9,4-Oct,1,6,65,6
10,4-Nov,1,0,42,18
11,4-Dec,1,6,66,15
12,5-Jan,1,0,52,8
13,5-Feb,1,0,74,8
14,5-Mar,1,0,50,12
15,5-Apr,1,11,41,14
16,5-May,1,0,58,9
17,5-Jun,1,0,40,14
18,5-Jul,1,0,55,11
19,5-Aug,1,0,54,14
20,5-Sep,1,4,42,10
21,5-Oct,1,0,58,14
22,5-Nov,1,12,44,15
23,5-Dec,1,4,37,11
24,6-Jan,1,3,41,15
25,6-Feb,1,0,42,8
26,6-Mar,1,9,49,11
27,6-Apr,1,3,34,12
28,6-May,1,0,51,9
29,6-Jun,1,0,40,5
30,6-Jul,1,3,38,5
31,6-Aug,1,3,43,10
32,6-Sep,1,6,40,13
33,6-Oct,1,3,38,13
34,6-Nov,1,8,40,8
35,6-Dec,1,3,39,5
36,7-Jan,1,7,40,11
37,7-Feb,1,3,44,10
38,7-Mar,1,5,31,7
39,7-Apr,1,2,36,7
40,7-May,1,2,28,6
41,7-Jun,1,0,39,8
42,7-Jul,1,2,36,10
43,7-Aug,1,0,35,5
44,7-Sep,1,6,37,10
45,7-Oct,1,5,30,13
46,7-Nov,1,4,33,8
47,7-Dec,1,2,27,9
48,8-Jan,1,3,40,8
49,8-Feb,2,7,35,9
50,8-Mar,1,7,31,10
51,8-Apr,1,2,36,8
52,8-May,1,5,30,9
53,8-Jun,2,5,33,6
54,8-Jul,1,5,28,6
55,8-Aug,2,3,31,11
56,8-Sep,6,2,35,12
57,8-Oct,6,3,29,12
58,8-Nov,6,0,29,8
59,8-Dec,5,1,28,9
60,9-Jan,4,8,26,6
61,9-Feb,4,7,30,12
62,9-Mar,4,4,26,10
63,9-Apr,4,1,30,11
64,9-May,5,3,27,10
65,9-Jun,6,6,29,8
66,9-Jul,6,5,30,10
67,9-Aug,6,7,26,6
68,9-Sep,8,6,28,11
69,9-Oct,16,1,29,12
70,9-Nov,24,8,26,9
71,9-Dec,20,6,20,6
72,10-Jan,21,7,26,7
73,10-Feb,18,7,31,10
74,10-Mar,21,4,24,13
75,10-Apr,24,9,29,8
76,10-May,32,6,26,8
77,10-Jun,39,2,31,11
78,10-Jul,44,3,21,8
79,10-Aug,51,11,22,9
80,10-Sep,49,5,23,10
81,10-Oct,49,7,25,13
